id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1512468409249898497,1512109506049757186,2022-04-09 00:32:23 Malay Peninsula Standard Time,2022-04-09,00:32:23,+0800,1496079307462123520,ra__viola,violapetrolo,,@isa_be_bella mental coach sei tu?,de,[],[],[],0,0,0,[],[],https://twitter.com/ra__viola/status/1512468409249898497,False,,0,,,,,,,,"[{'screen_name': 'isa_be_bella', 'name': 'isa', 'id': '1493279553736818688'}]",,,,
1512468403092697098,1512441547920494593,2022-04-09 00:32:22 Malay Peninsula Standard Time,2022-04-09,00:32:22,+0800,1227585601567961088,rxncore,ً,,@taylorjoyismo1 @turtunz l’unica cosa bella che avevano,it,[],[],[],0,0,0,[],[],https://twitter.com/rxncore/status/1512468403092697098,False,,0,,,,,,,,"[{'screen_name': 'taylorjoyismo1', 'name': 'Unlucky Lori', 'id': '1459472418389569540'}, {'screen_name': 'turtunz', 'name': '.', 'id': '1404066091350036488'}]",,,,
1512468403088416779,1512468403088416779,2022-04-09 00:32:22 Malay Peninsula Standard Time,2022-04-09,00:32:22,+0800,254291792,alison_conunal,Lady Vaga,,Hola bella! 💞 El corpiño que no cubre las tetas está solo 20 mil pesitos ✨🌼  https://t.co/G0bIzJpN80,es,[],[],['https://pbs.twimg.com/media/FP1d_zjXIAY_xYN.jpg'],0,0,0,[],[],https://twitter.com/alison_conunaL/status/1512468403088416779,False,,1,https://pbs.twimg.com/media/FP1d_zjXIAY_xYN.jpg,,,,,,,[],,,,
1512468396285247493,1512468396285247493,2022-04-09 00:32:20 Malay Peninsula Standard Time,2022-04-09,00:32:20,+0800,837320395,sonoladgr,DadR,,Per me è Tommaso Stanzani che nonostante la riservatezza e la discrezione ci tiene a sottolineare quanto sia una bella persona Tommaso Zorzi per lui ! E Tommaso Stanzani non dice mai nulla a caso e sempre tutto nel momento giusto! #tzvip,it,[],[],[],0,0,0,['tzvip'],[],https://twitter.com/sonoladgr/status/1512468396285247493,False,,0,,,,,,,,[],,,,
1512468392837529600,1512175104557527053,2022-04-09 00:32:19 Malay Peninsula Standard Time,2022-04-09,00:32:19,+0800,1374536249185341445,arimora38735858,Ari Morales,,@mimyregia Espero que igual que el suyo…..saludos desde Chicago y bendiciones…..bella a su totalidad..!!!.😎👍😎,es,[],[],[],0,0,0,[],[],https://twitter.com/AriMora38735858/status/1512468392837529600,False,,0,,,,,,,,"[{'screen_name': 'mimyregia', 'name': 'Myriam Fdz ♉️', 'id': '198599051'}]",,,,
1512468382695649280,1512442589005455365,2022-04-09 00:32:17 Malay Peninsula Standard Time,2022-04-09,00:32:17,+0800,1361531659913474048,tomsagu68003232,Tomy Agustin,,@9Moyanoo Jajajajaja ess que De bella vistaa no te junaa nadiee Tarau,es,[],[],[],0,0,0,[],[],https://twitter.com/TomsAgu68003232/status/1512468382695649280,False,,0,,,,,,,,"[{'screen_name': '9Moyanoo', 'name': 'Moyanoo_9', 'id': '1471018396041023497'}]",,,,
1512468371090161664,1512467175377879051,2022-04-09 00:32:14 Malay Peninsula Standard Time,2022-04-09,00:32:14,+0800,952313125063323648,luigiedu1,Luis Carballo,,@Mariaco03038824 Hola Mariaco Bella 😍🙏🙏 que te vaya bonito 🙌😍,es,[],[],[],0,0,0,[],[],https://twitter.com/luigiedu1/status/1512468371090161664,False,,0,,,,,,,,"[{'screen_name': 'Mariaco03038824', 'name': 'Mariaconsuelo', 'id': '1382393906164273154'}]",,,,
1512468359463456771,1512387508834865154,2022-04-09 00:32:11 Malay Peninsula Standard Time,2022-04-09,00:32:11,+0800,1339556261889781760,reginanoelia1,Regina Noelia,,@LaOneOk Gracias Andy! Igual para vos bella!,es,[],[],[],0,0,0,[],[],https://twitter.com/ReginaNoelia1/status/1512468359463456771,False,,0,,,,,,,,"[{'screen_name': 'LaOneOk', 'name': 'ıllıllı Enana Pendenciera ıllıllı', 'id': '1251920237819301890'}]",,,,
1512468345869971458,1512455483315138567,2022-04-09 00:32:08 Malay Peninsula Standard Time,2022-04-09,00:32:08,+0800,1506715332165185545,mickeyp85373856,Mickey P.,,@Gresia79729617 Sei bella e sexy da impazzire ❤️,it,[],[],[],0,0,0,[],[],https://twitter.com/MickeyP85373856/status/1512468345869971458,False,,0,,,,,,,,"[{'screen_name': 'Gresia79729617', 'name': 'Gresialella22 anni', 'id': '1369328967602368523'}]",,,,
1512468335124008970,1512468335124008970,2022-04-09 00:32:06 Malay Peninsula Standard Time,2022-04-09,00:32:06,+0800,1019037224015458304,wtfj0sten,Lê ⚢︎🍂 14 DAYS,,"o Edward é GADO DEMAIS da Bella, MEUDEUS",pt,[],[],[],0,0,0,[],[],https://twitter.com/WTFJ0STEN/status/1512468335124008970,False,,0,,,,,,,,[],,,,
